cgpa,internships,projects,aptitude_score,soft_skills_score,extracurricular,backlogs,placed
6.39,1,5,95,2.2,0,0,1
7.79,0,0,69,2.8,1,0,1
5.74,1,0,42,3.9,0,2,0
7.31,2,1,58,3.8,1,0,1
7.56,1,0,70,4.9,0,1,1
5.25,0,2,84,1.9,0,0,0
6.62,2,4,77,3.6,0,0,1
5.65,0,1,61,3.4,1,0,0
5.3,2,1,66,4.7,0,0,1
9.75,0,1,52,1.6,1,0,0
6.55,3,2,62,4.0,0,0,1
8.89,1,0,63,3.3,1,1,1
6.22,0,2,50,2.1,1,0,0
8.27,0,2,81,2.9,1,0,1
8.65,0,2,93,2.3,1,1,1
7.86,2,1,65,3.3,1,1,1
7.26,4,2,38,4.6,0,0,1
6.98,1,0,71,3.3,1,0,1
6.67,1,1,51,3.5,0,2,0
9.46,2,3,73,3.1,1,0,1
8.99,3,2,82,1.2,1,0,1
9.63,1,0,80,1.9,0,0,1
5.6,1,1,82,3.0,0,1,0
8.51,1,1,73,2.2,1,0,1
9.5,1,1,38,1.7,1,4,0
5.87,0,1,64,3.0,1,0,0
5.32,1,0,64,2.3,1,1,0
8.56,1,2,56,2.0,1,0,1
7.76,2,2,100,2.9,1,0,1
9.04,0,2,46,1.5,0,2,0
5.67,1,2,70,4.7,0,0,1
8.82,1,0,52,4.5,1,0,1
5.97,1,4,87,3.8,1,0,1
5.79,0,3,35,1.4,1,0,0
5.79,1,3,92,4.1,0,0,1
8.91,1,3,40,4.2,0,1,0
8.19,1,4,78,4.1,0,0,1
7.51,1,2,58,1.5,0,0,0
6.72,1,1,53,3.6,0,0,0
9.21,2,2,52,4.3,1,0,1
6.88,0,2,64,3.3,0,1,0
8.92,2,2,76,3.6,1,0,1
7.11,1,2,67,2.8,0,0,1
6.81,0,0,46,3.1,1,3,0
7.22,0,1,61,1.1,0,0,0
6.45,0,4,73,3.6,0,2,0
8.59,2,2,43,1.3,0,2,0
7.41,2,2,55,2.7,1,1,0
6.11,2,1,63,2.2,1,0,1
9.32,1,1,67,3.2,1,1,1
6.84,1,3,96,1.5,0,1,0
7.61,0,2,49,3.8,1,0,0
9.35,0,3,36,4.2,0,0,1
8.0,1,2,86,1.7,0,0,1
5.56,0,2,78,1.4,1,0,1
9.51,0,1,88,1.6,1,0,1
8.01,1,2,52,4.5,0,0,1
6.61,2,1,37,3.1,0,0,1
5.67,4,1,41,2.9,1,0,1
8.81,3,2,77,1.4,0,0,1
7.98,1,4,72,3.6,0,0,1
7.56,1,0,71,4.5,1,2,0
9.29,1,3,92,4.3,1,0,1
8.79,2,1,67,3.5,1,0,1
5.73,0,1,93,1.3,1,0,0
6.5,1,0,45,1.4,1,0,0
6.19,2,1,56,1.2,0,1,0
8.57,1,2,100,2.0,1,2,0
5.16,1,0,78,1.5,0,0,1
7.74,1,2,40,2.0,0,3,0
8.66,0,4,76,2.5,1,0,1
9.21,1,0,59,4.8,0,0,1
6.64,0,3,91,3.4,0,0,1
8.94,0,1,89,4.3,0,2,0
5.53,0,2,50,3.8,0,0,0
9.06,2,1,48,1.5,1,1,0
5.61,0,1,73,3.9,1,1,0
6.91,1,1,62,2.1,1,0,0
8.83,0,0,85,3.6,0,0,1
5.72,3,1,83,2.4,0,2,0
6.1,0,2,43,5.0,0,0,0
8.47,1,3,92,2.1,0,0,1
8.46,2,3,79,2.1,0,0,1
8.08,2,2,56,4.7,1,0,1
8.33,0,0,66,1.1,1,0,1
7.61,2,1,76,3.8,1,0,1
6.21,1,1,87,3.9,0,0,0
6.66,1,1,93,4.3,1,0,1
5.87,0,2,73,4.9,0,2,0
9.36,0,2,49,4.9,0,4,0
7.8,2,1,63,1.3,1,0,1
6.92,1,1,37,4.3,1,0,1
7.22,1,3,44,3.6,0,2,0
9.55,2,3,63,3.6,0,0,1
5.74,2,1,69,1.5,0,0,0
7.81,0,4,40,3.6,1,2,0
7.43,1,4,46,4.9,1,1,1
7.93,0,1,72,4.6,1,1,0
5.09,2,1,53,2.8,0,1,0
9.19,1,2,42,1.2,0,0,0
9.47,3,4,42,2.4,1,0,1
7.71,0,3,81,4.3,1,1,1
8.34,0,0,38,3.8,0,0,0
9.43,0,1,85,2.8,1,0,1
8.39,0,2,79,1.2,1,1,0
5.73,0,2,42,2.7,1,1,0
7.77,3,1,50,2.9,1,0,1
7.91,0,3,43,4.7,1,1,0
7.04,0,2,94,3.6,1,1,0
8.53,2,3,49,2.2,1,1,0
9.48,1,3,75,3.1,0,0,1
9.44,2,2,56,1.3,0,0,1
7.16,0,1,58,4.9,0,0,0
5.54,1,2,78,2.4,1,0,1
9.73,0,1,35,2.9,0,0,0
9.03,0,2,44,2.4,1,0,0
5.6,3,1,90,3.7,0,0,1
9.42,0,2,84,3.6,0,2,0
9.18,1,1,46,3.9,1,0,1
7.49,1,0,94,2.1,0,1,0
7.84,0,1,60,2.3,0,1,0
6.92,3,0,75,1.5,0,0,1
5.26,0,2,70,3.6,1,2,0
6.61,1,2,57,1.2,0,0,0
8.85,4,2,77,3.4,1,0,1
5.02,1,1,40,4.5,1,1,0
6.6,3,0,77,4.6,0,0,1
6.91,0,0,59,2.8,0,1,0
7.58,1,1,52,2.8,0,0,1
9.42,0,3,96,1.3,1,1,0
6.66,2,1,47,3.7,0,0,0
6.67,4,1,77,4.3,0,0,1
8.54,0,0,62,2.0,1,0,1
7.17,1,1,52,2.7,1,1,0
6.08,0,2,93,4.4,0,1,0
7.17,1,2,94,4.5,0,0,1
5.68,1,1,97,2.0,1,0,1
5.85,4,0,91,3.2,1,0,1
7.39,1,1,85,1.8,1,2,0
7.01,0,1,90,1.4,1,0,0
9.39,0,1,61,4.6,1,1,0
6.74,0,4,66,4.3,1,1,0
7.79,0,2,43,4.0,1,0,0
8.03,0,2,80,1.2,0,0,0
5.06,2,1,60,4.4,1,0,0
8.18,1,1,42,2.8,0,1,0
5.85,1,2,40,2.4,0,0,0
9.61,0,2,58,3.2,1,0,1
5.71,2,2,82,1.4,0,1,0
6.99,2,1,79,4.0,1,0,1
5.41,0,2,47,3.3,0,0,0
9.78,2,1,59,1.7,1,0,1
7.41,1,3,54,1.8,1,0,1
7.86,0,2,100,1.7,1,1,0
5.32,1,2,79,1.2,0,0,0
8.6,1,0,81,3.4,0,0,0
6.01,0,2,97,4.4,1,2,0
9.31,3,0,89,1.1,0,0,1
5.98,2,1,53,1.2,1,3,0
5.92,1,0,69,3.3,1,3,0
5.18,1,2,87,4.3,0,0,1
7.27,1,1,60,2.3,0,0,0
7.71,1,1,48,2.4,0,1,0
5.32,1,3,79,3.4,1,0,1
8.72,0,1,78,2.1,0,0,1
7.18,1,2,99,1.1,0,1,1
7.52,2,1,85,3.9,0,0,1
7.12,1,0,77,3.5,1,2,0
6.92,0,3,57,3.3,0,0,1
7.69,2,0,90,4.0,0,0,1
5.75,0,2,53,3.7,1,0,0
5.87,0,2,89,1.8,1,3,0
9.14,0,2,94,2.4,1,1,1
9.54,0,2,93,1.5,0,1,0
6.79,2,1,67,1.5,0,0,0
6.3,1,0,53,3.7,1,0,1
8.09,0,2,62,4.4,0,0,1
6.96,2,2,86,4.9,1,0,1
5.12,2,3,83,3.5,1,0,1
5.75,2,3,71,1.7,0,0,0
8.44,0,3,60,1.4,1,0,0
8.16,1,2,74,4.3,1,3,0
5.13,4,1,72,3.3,0,0,1
6.07,2,3,88,3.5,1,3,0
6.11,0,2,56,4.1,0,0,0
8.23,0,1,50,3.8,0,0,0
5.09,1,3,62,4.3,0,0,1
5.5,3,3,69,1.2,1,0,1
8.84,1,2,94,4.0,1,0,1
5.86,1,0,79,4.4,1,0,0
8.13,0,1,80,2.1,0,0,1
6.14,1,3,89,3.6,1,1,1
5.48,2,4,60,2.3,0,1,0
6.17,1,1,59,4.8,1,1,0
8.47,2,0,99,1.1,0,0,1
9.11,4,3,40,3.3,0,0,1
8.99,0,1,57,1.7,0,0,0
6.91,1,2,98,3.8,1,0,1
8.21,0,4,77,1.7,0,0,1
5.98,2,0,57,1.9,1,0,0
6.41,1,2,64,3.0,0,0,1
9.3,1,0,52,4.7,0,0,1
5.06,2,1,55,1.8,1,0,0
5.41,1,3,91,1.6,1,1,0
6.0,3,1,57,4.0,1,1,1
5.13,1,5,79,3.0,0,3,0
5.87,0,2,78,4.6,0,1,0
7.8,1,1,81,1.6,0,0,0
7.02,2,1,74,3.6,1,2,0
9.28,0,1,85,1.9,1,2,0
8.92,2,1,76,1.6,1,0,1
6.64,3,0,41,3.7,1,0,0
6.25,0,1,84,3.4,0,3,0
6.82,4,2,82,4.0,1,0,1
7.83,0,2,40,2.2,1,2,0
6.29,0,2,43,2.8,1,0,0
8.0,0,2,91,2.6,0,0,1
6.97,3,0,65,4.9,0,0,1
7.65,1,1,55,2.2,0,0,1
7.09,0,2,74,2.2,0,1,0
6.41,1,2,79,2.4,0,4,0
9.55,1,0,83,3.3,0,0,1
8.67,0,3,54,2.0,1,0,1
5.67,3,3,51,4.7,0,1,0
9.17,2,2,62,2.1,0,0,1
7.34,1,0,75,4.6,0,0,1
9.29,4,3,100,1.4,1,0,1
8.84,1,2,59,3.6,1,1,0
7.04,4,3,92,4.6,1,1,1
5.11,1,3,75,1.7,0,0,0
6.29,1,3,40,4.9,1,0,1
7.6,0,2,72,2.8,0,3,0
8.04,3,0,40,4.8,0,1,0
6.24,1,2,79,3.7,0,0,0
5.67,0,2,48,2.2,0,0,0
9.01,0,2,100,1.8,0,1,1
9.73,1,1,74,2.2,1,0,1
7.52,1,1,37,1.4,1,0,0
5.82,2,3,58,1.6,0,0,1
6.31,3,2,53,1.4,1,0,1
5.09,0,4,52,2.7,0,0,0
9.39,2,3,98,4.2,0,0,1
5.57,0,2,69,1.6,1,1,0
7.77,2,2,96,1.5,1,0,1
6.32,2,3,35,3.6,0,0,0
7.66,1,2,59,1.8,0,0,1
8.13,2,2,79,1.4,1,2,0
8.98,0,1,83,1.7,1,2,0
5.99,1,2,50,4.7,1,0,1
5.05,2,2,53,4.3,0,1,0
5.66,1,1,57,2.4,0,0,0
9.32,1,1,59,3.6,0,3,0
9.19,1,1,50,3.1,0,0,0
7.87,2,1,88,3.7,1,1,0
7.88,0,1,35,3.7,1,0,0
8.19,0,1,76,3.5,0,0,1
5.84,2,4,53,2.1,1,3,0
9.39,2,2,68,1.2,1,0,1
7.01,0,1,89,2.8,0,0,1
6.84,0,0,52,4.6,1,0,1
7.49,0,2,68,3.3,1,1,1
5.23,0,1,79,4.3,1,0,0
5.8,1,3,40,5.0,0,0,1
8.54,2,2,55,1.7,1,3,0
5.4,1,3,82,3.8,1,0,1
7.9,1,1,73,3.7,0,0,1
6.18,1,2,65,4.9,0,2,0
6.87,2,1,44,4.9,1,0,1
6.39,1,4,64,3.7,0,0,1
6.71,4,2,52,2.0,1,0,1
8.45,1,1,94,4.2,1,1,1
6.43,0,1,49,1.4,0,0,0
7.72,1,1,38,4.1,0,3,0
7.29,0,2,97,4.6,1,1,1
8.19,1,1,74,2.5,0,0,1
9.5,0,2,43,3.5,1,1,0
8.52,0,1,43,2.7,1,0,1
6.03,2,2,60,2.8,1,0,1
5.15,0,3,38,2.2,1,1,0
6.26,2,3,50,4.0,1,3,0
7.86,0,3,49,4.7,0,0,0
5.25,1,1,86,4.8,1,0,1
7.38,1,0,39,1.7,1,0,0
7.86,1,2,54,4.5,0,0,1
6.6,0,1,52,3.9,0,0,0
8.7,0,1,36,2.0,1,0,0
5.51,0,0,47,1.3,0,1,0
5.36,0,1,38,2.1,1,0,0
8.5,1,0,76,4.6,1,0,1
7.38,3,3,95,3.5,0,1,1
8.3,2,1,42,3.9,1,1,0
7.09,2,2,97,2.0,0,0,1
6.18,2,0,43,3.9,0,0,0
8.93,1,2,45,1.1,1,0,0
8.84,0,1,76,2.5,0,0,0
8.33,3,3,47,3.5,1,0,1
6.31,1,3,70,1.6,1,1,0
7.83,1,1,47,4.3,1,0,1
6.73,0,4,46,1.9,0,0,0
5.44,1,5,71,3.6,0,0,1
9.4,1,3,86,2.6,1,0,1
5.66,2,3,36,3.4,1,0,0
9.56,1,1,90,1.4,1,4,0
7.14,1,2,94,1.1,1,0,1
5.89,4,0,57,4.6,0,0,1
7.6,0,0,74,2.1,0,0,0
9.19,1,5,98,4.3,1,2,1
8.51,0,1,57,5.0,0,0,1
8.87,2,2,63,1.8,0,0,1
8.16,3,3,85,2.1,1,2,0
8.32,0,3,65,3.7,0,0,1
9.08,2,5,84,4.9,0,0,1
6.2,0,1,54,4.7,0,0,0
7.35,3,0,89,3.0,1,0,1
6.06,2,1,36,4.2,1,0,0
9.74,2,0,59,1.5,1,1,0
9.53,0,0,47,4.9,1,0,1
5.19,4,1,92,4.9,0,0,1
8.39,2,3,98,1.7,1,0,1
9.44,0,2,93,2.2,0,0,1
5.87,2,1,94,1.4,0,0,1
7.73,0,2,96,2.1,1,2,0
9.39,2,1,50,4.3,1,0,1
5.16,0,0,49,2.5,0,1,0
8.35,2,3,89,1.4,0,0,1
6.43,1,2,69,2.4,1,0,1
9.44,0,3,89,4.9,0,0,1
9.66,0,0,48,3.5,0,0,1
9.53,0,3,83,2.7,0,0,1
7.28,1,2,41,1.7,0,0,0
9.14,0,2,64,4.9,1,1,0
9.05,1,2,83,4.3,0,0,1
6.53,0,3,50,2.1,0,0,0
8.98,0,2,85,1.3,1,0,1
5.18,2,2,76,1.2,1,0,1
7.86,0,5,51,1.5,0,0,0
6.1,3,3,97,3.3,0,0,1
5.58,2,1,79,4.7,0,0,1
5.37,1,2,41,3.0,1,1,0
8.34,1,1,61,4.4,1,2,0
6.63,3,1,44,2.8,1,0,1
8.48,0,2,68,3.8,1,0,1
5.31,0,4,70,3.9,1,2,0
6.51,0,4,59,1.7,1,0,0
7.59,2,1,40,2.4,1,0,1
8.8,0,2,58,3.5,0,0,0
6.53,1,1,52,1.3,1,0,0
8.0,4,5,40,2.4,0,0,1
9.25,2,5,63,3.1,0,0,1
7.96,1,2,59,5.0,1,0,1
6.12,0,3,89,2.9,0,0,1
5.12,2,2,80,4.3,1,1,1
9.18,1,2,58,2.7,1,0,1
5.1,0,0,60,4.2,0,0,0
9.2,0,2,62,3.4,1,0,1
7.54,3,2,37,4.5,0,1,0
9.51,1,2,72,2.6,0,1,0
8.83,2,1,95,3.4,1,0,1
9.79,2,4,85,3.5,1,0,1
6.68,1,1,82,2.7,1,1,1
8.68,1,2,55,1.6,0,1,0
6.93,1,2,88,1.4,1,0,1
7.3,0,2,90,1.1,0,0,1
8.01,1,2,93,4.5,1,0,1
9.19,2,1,85,1.9,0,1,1
9.72,1,1,54,1.8,1,0,1
8.69,3,2,93,3.9,0,0,1
7.01,1,2,43,2.3,0,2,0
7.02,1,1,35,3.0,1,1,0
8.54,1,2,63,1.7,1,2,0
6.15,1,2,97,4.8,1,3,0
5.53,2,2,90,4.4,1,0,1
6.7,0,3,69,4.5,1,0,1
6.38,1,1,37,2.6,1,0,0
6.42,0,0,41,4.0,0,2,0
6.12,1,3,61,1.6,1,0,0
5.2,1,2,35,1.0,0,4,0
5.09,1,2,78,1.1,1,0,1
9.74,3,3,75,3.3,1,1,1
7.05,1,3,76,2.8,1,0,1
6.84,2,4,67,3.1,1,0,1
8.26,1,2,84,1.0,1,1,1
6.05,1,2,97,2.7,1,0,1
9.56,0,1,71,3.9,0,1,0
8.77,0,1,93,2.8,1,0,1
5.43,1,2,82,3.9,0,1,0
7.0,1,1,39,1.9,1,0,0
9.22,0,4,82,4.3,0,0,1
9.53,0,2,37,3.4,0,1,0
7.24,0,2,81,1.8,0,0,0
7.94,4,1,96,1.9,0,0,1
5.8,0,0,48,3.5,1,0,0
9.76,1,0,97,4.3,0,0,1
6.11,0,1,95,2.7,1,0,1
9.53,1,0,65,2.0,0,1,0
8.12,0,2,51,4.5,1,0,0
7.92,0,3,58,3.7,1,0,0
7.46,1,3,57,2.8,1,0,1
6.11,0,2,84,3.0,1,0,0
5.85,0,1,61,1.8,0,0,0
6.06,0,3,49,3.5,1,3,0
5.89,0,3,84,2.4,0,2,0
8.74,0,1,70,5.0,1,0,1
6.68,0,2,42,2.9,1,0,0
5.28,2,1,37,2.9,0,1,0
9.65,1,3,96,3.3,1,0,1
9.24,1,5,81,4.7,1,0,1
9.45,0,0,95,4.2,0,0,1
9.78,3,3,66,2.8,0,0,1
5.83,1,2,47,3.9,0,3,0
6.9,0,5,35,3.3,1,1,0
8.64,1,2,68,3.0,1,0,1
8.34,0,3,96,1.8,0,0,1
5.74,0,0,65,2.9,0,1,0
8.92,1,1,98,2.0,1,1,0
6.08,2,0,59,4.7,1,0,1
6.07,1,5,72,2.3,0,0,1
7.58,2,3,48,4.8,0,0,1
7.85,4,3,42,3.1,1,1,1
7.78,0,4,88,3.5,0,1,1
5.44,0,0,36,3.2,0,0,0
9.21,1,1,90,1.5,1,1,0
6.27,1,0,95,2.5,1,0,1
5.62,1,1,56,1.4,0,0,0
9.27,3,1,69,3.5,0,0,1
9.59,2,2,50,2.8,0,0,1
9.14,1,1,84,4.1,0,0,1
8.89,0,0,77,1.9,1,0,1
8.15,2,1,51,1.7,0,0,1
7.64,3,0,92,2.6,1,0,1
5.42,2,5,36,4.7,1,0,1
6.96,0,3,38,3.8,0,0,0
6.79,1,4,73,2.7,0,0,1
6.25,0,1,40,3.1,1,0,0
8.47,0,1,54,1.3,1,0,1
7.38,0,3,98,4.9,1,2,0
5.39,1,1,50,3.7,0,1,0
6.06,1,1,85,2.1,1,2,0
8.28,0,1,71,3.3,1,0,0
5.37,1,0,76,1.4,1,0,1
9.09,1,1,91,4.9,0,1,1
7.38,1,1,100,1.7,1,0,1
7.31,0,2,43,3.6,1,0,0
7.84,1,0,98,2.0,0,0,1
8.96,2,1,56,3.9,1,1,1
6.67,0,3,68,4.1,0,0,1
8.25,0,0,89,3.7,0,2,0
7.72,1,1,63,3.5,0,2,0
6.28,3,3,72,4.6,1,0,1
9.22,1,1,52,1.3,0,1,0
8.83,1,0,99,2.3,1,0,1
8.16,1,2,35,2.0,1,1,0
9.08,1,1,38,5.0,0,0,1
9.16,0,2,38,2.6,1,1,0
8.4,1,3,61,3.9,1,0,1
9.02,3,0,77,3.7,1,3,0
8.35,1,2,93,1.8,1,0,1
8.26,2,2,66,2.0,1,0,1
7.97,2,0,67,2.1,0,1,0
8.61,0,2,62,2.6,1,1,1
5.76,3,1,89,1.9,0,0,1
9.23,0,2,94,1.1,1,0,1
9.18,1,0,96,4.5,0,0,1
5.14,0,2,68,4.9,1,3,0
8.96,0,1,90,2.4,1,1,0
5.62,1,3,47,2.4,1,1,0
6.61,0,0,90,1.0,0,0,0
8.57,1,1,52,3.7,0,0,1
5.77,1,2,88,4.3,1,0,0
8.93,0,2,77,1.6,1,1,0
8.99,0,2,73,1.6,0,0,1
7.44,1,2,95,4.2,1,2,0
5.03,0,3,76,3.5,1,0,1
6.38,2,3,52,1.2,0,0,1
7.96,1,1,57,3.5,1,0,1
9.71,2,2,88,2.2,1,0,1
8.03,1,3,64,2.5,1,0,1
6.25,1,5,92,4.1,0,0,1
8.04,1,3,52,4.2,1,0,1
7.59,0,1,41,2.6,1,1,0
8.74,0,1,74,4.8,0,0,1
5.51,2,2,99,2.6,1,0,1
8.65,1,2,83,4.1,1,0,1
7.6,2,2,86,2.9,1,0,1
9.62,2,2,63,4.6,0,1,1
6.64,2,3,55,4.6,1,0,1
8.04,3,1,43,1.3,1,1,0
9.47,1,3,81,4.7,0,0,1
5.49,0,1,76,4.3,0,0,1
9.5,1,1,85,4.2,1,0,1
8.3,1,2,90,1.8,1,0,1
5.33,1,3,85,4.2,0,0,0
6.44,2,0,54,4.4,1,1,1
8.4,1,1,61,2.2,0,0,1
5.32,1,4,72,4.8,1,0,1
7.79,0,1,99,1.2,1,0,1
6.66,1,2,88,1.6,1,0,1
7.98,0,2,58,3.2,0,0,0
5.22,3,2,81,3.3,1,0,1
9.18,0,2,97,3.6,0,0,1
9.67,0,1,91,1.1,0,0,1
9.65,0,2,89,4.8,1,1,1
8.6,1,1,94,1.2,1,2,0
5.62,1,2,96,1.6,0,0,1
